memset test:
start	0
end	512
incr	1
ntry	10000
align	3
verbose	0
bytes   	   i386		   i586		   i686		i686fix	
     327	412.576	  1.262	566.183	  1.731	757.710	  2.317	369.908	  1.131
     328	412.736	  1.258	532.393	  1.623	755.883	  2.305	369.897	  1.128
     329	427.530	  1.299	564.581	  1.716	756.765	  2.300	387.134	  1.177
     330	422.295	  1.280	559.584	  1.696	760.564	  2.305	386.251	  1.170
     331	425.738	  1.286	561.809	  1.697	760.390	  2.297	386.894	  1.169
     332	425.477	  1.282	562.834	  1.695	761.899	  2.295	386.562	  1.164
     333	414.698	  1.245	598.918	  1.799	758.651	  2.278	371.917	  1.117
     334	415.881	  1.245	593.735	  1.778	739.511	  2.214	372.711	  1.116
     335	416.096	  1.242	592.394	  1.768	739.377	  2.207	372.843	  1.113
     336	415.398	  1.236	565.829	  1.684	739.546	  2.201	372.653	  1.109
     337	428.773	  1.272	551.386	  1.636	737.536	  2.189	387.581	  1.150
     338	423.559	  1.253	565.035	  1.672	739.660	  2.188	387.577	  1.147
     339	423.526	  1.249	566.036	  1.670	739.335	  2.181	387.856	  1.144
     340	422.985	  1.244	573.204	  1.686	739.742	  2.176	387.712	  1.140
     341	429.039	  1.258	771.994	  2.264	739.922	  2.170	381.855	  1.120
     342	418.655	  1.224	725.977	  2.123	746.213	  2.182	381.823	  1.116
     343	417.887	  1.218	766.733	  2.235	746.507	  2.176	381.578	  1.112
     344	419.031	  1.218	838.167	  2.437	746.018	  2.169	381.066	  1.108
     345	429.303	  1.244	583.172	  1.690	744.255	  2.157	389.463	  1.129
     346	425.469	  1.230	616.485	  1.782	747.421	  2.160	388.787	  1.124
     347	424.261	  1.223	602.667	  1.737	747.084	  2.153	388.885	  1.121
     348	424.368	  1.219	565.103	  1.624	747.540	  2.148	388.727	  1.117
     349	462.992	  1.327	822.693	  2.357	775.206	  2.221	384.459	  1.102
     350	424.104	  1.212	778.957	  2.226	769.183	  2.198	383.654	  1.096
