Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	  4352	  4607	  2075	  4421.0
STATS	  4608	  4863	  1035	  4761.0
STATS	  4864	  5119	  4223	  5003.0
STATS	  5120	  5375	  4614	  5231.0
STATS	  5376	  5631	  1063	  5500.0
STATS	  5632	  5887	  1257	  5752.0
STATS	  5888	  6143	  2432	  6021.0
STATS	  6144	  6399	   908	  6230.0
STATS	  6400	  6655	    16	  6461.0
STATS	  6656	  6911	     4	  6744.0
STATS	  6912	  7167	     1	  6942.0
STATS	  7168	  7423	     1	  7257.0
STATS	  7424	  7679	     1	  7563.0
STATS	  7680	  7935	     2	  7742.0
STATS	  8704	  9215	     2	  8977.0
STATS	 12288	 12799	     8	 12545.0
STATS	 12800	 13311	    31	 13127.0
STATS	 13312	 13823	    56	 13586.0
STATS	 13824	 14335	    50	 14063.0
STATS	 14336	 14847	    38	 14593.0
STATS	 14848	 15359	    18	 15022.0
STATS	 15360	 15871	     3	 15474.0
STATS	 15872	 16383	     3	 15978.0
STATS	 16384	 17407	     1	 16835.0
STATS	 18432	 19455	     1	 19056.0
STATS	 24576	 25599	     1	 24863.0
STATS	mode	0	4614	  5231.0
STATS	mode	1	4223	  5003.0
STATS	mode	2	2432	  6021.0
STATS	mode_avg	  5316.1
STATS	summary	lx128	3072	     1.7
STATS	start	bytes=4096	func=memcpy
STATS	  6912	  7167	     1	  7165.0
STATS	  7168	  7423	   624	  7279.0
STATS	  7424	  7679	   220	  7623.0
STATS	  7680	  7935	  3474	  7868.0
STATS	  7936	  8191	  2591	  8098.0
STATS	  8192	  8703	  6148	  8358.0
STATS	  8704	  9215	  2907	  9038.0
STATS	  9216	  9727	  2247	  9453.0
STATS	  9728	 10239	   919	  9931.0
STATS	 10240	 10751	   445	 10456.0
STATS	 10752	 11263	    64	 10932.0
STATS	 11264	 11775	     5	 11463.0
STATS	 11776	 12287	     2	 12092.0
STATS	 12288	 12799	     1	 12295.0
STATS	 14848	 15359	     3	 15193.0
STATS	 15360	 15871	    14	 15728.0
STATS	 15872	 16383	    68	 16148.0
STATS	 16384	 17407	   130	 16853.0
STATS	 17408	 18431	    91	 17854.0
STATS	 18432	 19455	    35	 18839.0
STATS	 19456	 20479	     5	 19812.0
STATS	 20480	 21503	     1	 21044.0
STATS	 21504	 22527	     3	 21736.0
STATS	 26624	 27647	     1	 27076.0
STATS	 47104	 49151	     1	 47412.0
STATS	mode	0	6148	  8358.0
STATS	mode	1	3474	  7868.0
STATS	mode	2	2907	  9038.0
STATS	mode_avg	  8379.9
STATS	summary	memcpy	4096	     2.0
STATS	start	bytes=4096	func=libc586
STATS	  6912	  7167	     4	  7156.0
STATS	  7168	  7423	   614	  7250.0
STATS	  7424	  7679	   252	  7602.0
STATS	  7680	  7935	  3664	  7848.0
