Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	 18432	 19455	     1	 19290.0
STATS	 19456	 20479	     1	 19935.0
STATS	 65536	 69631	     1	 66788.0
STATS	mode	0	10288	  4962.0
STATS	mode	1	3131	  5452.0
STATS	mode	2	2812	  5986.0
STATS	mode_avg	  5233.9
STATS	summary	lx64si0	4096	     1.3
STATS	start	bytes=4096	func=lx128
STATS	  5632	  5887	  1208	  5870.0
STATS	  5888	  6143	  9500	  5977.0
STATS	  6144	  6399	  2710	  6303.0
STATS	  6400	  6655	  1982	  6480.0
STATS	  6656	  6911	  1260	  6847.0
STATS	  6912	  7167	  2048	  7003.0
STATS	  7168	  7423	   576	  7318.0
STATS	  7424	  7679	   314	  7508.0
STATS	  7680	  7935	    54	  7784.0
STATS	  7936	  8191	    17	  8042.0
STATS	  8192	  8703	     4	  8314.0
STATS	  8704	  9215	     1	  8765.0
STATS	 14336	 14847	   179	 14601.0
STATS	 14848	 15359	    76	 15024.0
STATS	 15360	 15871	    47	 15587.0
STATS	 15872	 16383	    15	 16098.0
STATS	 16384	 17407	     5	 16725.0
STATS	 17408	 18431	     1	 17536.0
STATS	 18432	 19455	     2	 19214.0
STATS	 19456	 20479	     1	 20241.0
STATS	mode	0	9500	  5977.0
STATS	mode	1	2710	  6303.0
STATS	mode	2	2048	  7003.0
STATS	mode_avg	  6186.3
STATS	summary	lx128	4096	     1.5
STATS	start	bytes=5120	func=memcpy
STATS	  9728	 10239	 12738	  9980.0
STATS	 10240	 10751	  2926	 10467.0
STATS	 10752	 11263	  2644	 10994.0
STATS	 11264	 11775	  1041	 11397.0
STATS	 11776	 12287	   119	 11959.0
STATS	 12288	 12799	    15	 12473.0
STATS	 18432	 19455	   372	 18931.0
STATS	 19456	 20479	   128	 19937.0
STATS	 20480	 21503	    11	 20872.0
STATS	 21504	 22527	     1	 21595.0
STATS	 22528	 23551	     3	 22869.0
STATS	 24576	 25599	     1	 25511.0
STATS	524288	557055	     1	546102.0
STATS	mode	0	12738	  9980.0
